,id,provider,title,description,category,skill level,is_paid,class,rating,URL,processed_description
14,15,datacamp,Machine Learning Scientist with R,"Master the essential skills to land a job as a machine learning scientist! You'll augment your R programming skillset with the toolbox to perform supervised and unsupervised learning. You'll learn how to process data for modeling, train your models, visualize your models and assess their performance, and tune their parameters for better performance. In the process, you'll get an introduction to Bayesian statistics, natural language processing, and Spark.",machine learning,any,yes,paid,,https://www.datacamp.com/tracks/machine-learning-scientist-with-r,master essential skill land job machine learning scientist youll augment r programming skillset toolbox perform supervised unsupervised learning youll learn process data modeling train model visualize model ass performance tune parameter better performance process youll get introduction bayesian statistic natural language processing spark
15,16,datacamp,Data Analyst with Python,"Start your journey to becoming a data analyst using Python - one of the most popular programming languages in the world. No prior coding experience is required; you’ll start from scratch and learn how to import, clean, manipulate, and visualize data—all integral skills for any aspiring data professional or researcher. You’ll begin your data analyst training with interactive exercises and get hands-on with some of the most popular Python libraries, including pandas, NumPy, Seaborn, and many more. You’ll learn why Python for data analysis is so popular and work with real-world datasets to grow your data manipulation and exploratory data analysis skills. As you progress through the courses, you’ll cover topics such as data manipulation and joining data. You’ll also learn key statistics skills, like hypothesis testing. Get started today, grow your Python skills, and begin your journey to becoming a confident data analyst.",data analytics,any,yes,paid,,https://www.datacamp.com/tracks/data-analyst-with-python,start journey becoming data analyst using python one popular programming language world prior coding experience required youll start scratch learn import clean manipulate visualize dataall integral skill aspiring data professional researcher youll begin data analyst training interactive exercise get handson popular python library including panda numpy seaborn many youll learn python data analysis popular work realworld datasets grow data manipulation exploratory data analysis skill progress course youll cover topic data manipulation joining data youll also learn key statistic skill like hypothesis testing get started today grow python skill begin journey becoming confident data analyst
16,17,datacamp,Data Analyst in Power BI,"Learn how to master Power BI—one of the world’s most popular business intelligence tools—in this interactive learning path, co-created with Microsoft to pass the official PL-300 Data Analyst with Power BI exam. There’s no prior experience required! You’ll learn how to import, clean, manipulate, and visualize data in Power BI—all critical skills for any aspiring data professional. Through hands-on exercises, you'll learn data analysis best practices and discover a world of Power BI functionalities, including data modeling, DAX, Power Query, and many others. You'll also receive a 50% discount code for the Microsoft PL-300 certification after completing the track to help you supercharge your data analyst career!",data analytics,any,yes,paid,,https://www.datacamp.com/tracks/data-analyst-in-power-bi,learn master power bione world popular business intelligence toolsin interactive learning path cocreated microsoft pas official pl300 data analyst power bi exam there prior experience required youll learn import clean manipulate visualize data power biall critical skill aspiring data professional handson exercise youll learn data analysis best practice discover world power bi functionality including data modeling dax power query many others youll also receive 50 discount code microsoft pl300 certification completing track help supercharge data analyst career
17,18,datacamp,Data Analyst in SQL,"Database design is critical for a high-performance application. Just like you wouldn't build a house without a blueprint, you need to plan how you’ll store your data beforehand. In this interactive SQL track, you'll learn the fundamentals of database design and how to: Write basic SQL queries, Group and aggregate data to produce summary statistics, Join tables and apply filters and sub-queries, Write functions to explore and manipulate data. Working with real-world datasets, gain the SQL skills you need to query a database, analyze results, and effectively communicate your insights to stakeholders. There’s no prior SQL knowledge required—start your journey to becoming a confident data analyst.",data analytics,any,yes,paid,,https://www.datacamp.com/tracks/data-analyst-in-sql,database design critical highperformance application like wouldnt build house without blueprint need plan youll store data beforehand interactive sql track youll learn fundamental database design write basic sql query group aggregate data produce summary statistic join table apply filter subqueries write function explore manipulate data working realworld datasets gain sql skill need query database analyze result effectively communicate insight stakeholder there prior sql knowledge requiredstart journey becoming confident data analyst
18,19,datacamp,Data Analyst in Tableau,"Learn how to master Tableau for data analysis, developing your skills and knowledge in one of the world’s most popular business intelligence tools. Throughout nine courses, you’ll learn how to use Tableau’s features to clean, analyze, and visualize data. This Tableau Data Analyst track requires no prior experience. Starting with the Tableau basics, you’ll explore how to analyze data and create dashboards before putting your newfound Tableau skills to the test with hands-on exercises and case studies. You’ll learn how to connect data, create impactful, presentation-ready data visualizations, and familiarize yourself with the feature of Tableau and how you can use them to your advantage. You’ll finish the track by learning how to leverage advanced calculations and apply statistical techniques. Once completed, you'll have most of the skills and knowledge required to pass Tableau’s Data Analyst certification, and you’ll have the confidence to use Tableau for your own data analyses.",data analytics,any,yes,paid,,https://www.datacamp.com/tracks/data-analyst-in-tableau,learn master tableau data analysis developing skill knowledge one world popular business intelligence tool throughout nine course youll learn use tableau feature clean analyze visualize data tableau data analyst track requires prior experience starting tableau basic youll explore analyze data create dashboard putting newfound tableau skill test handson exercise case study youll learn connect data create impactful presentationready data visualization familiarize feature tableau use advantage youll finish track learning leverage advanced calculation apply statistical technique completed youll skill knowledge required pas tableau data analyst certification youll confidence use tableau data analysis
19,20,le wagon,Web Development,"Grasp programming foundations, write robust code with object-oriented programming and build MVC software from scratch. Master relational databases and SQL. Develop responsive web pages with HTML and CSS. Master modern JavaScript and all the tools and environment like Webpack and Node.js. Build complete web applications and deploy them online on real domain that everyone can access. You're not a real developer until you've pushed something in production! Understand product development tools & workflow. Validate your UX on Figma, organise team work and collaborate on GitHub. Cover your code with automated testing and continuous integration.",web development,beginner,yes,bootcamp,,https://www.lewagon.com/web-development-course,grasp programming foundation write robust code objectoriented programming build mvc software scratch master relational database sql develop responsive web page html cs master modern javascript tool environment like webpack nodejs build complete web application deploy online real domain everyone access youre real developer youve pushed something production understand product development tool workflow validate ux figma organise team work collaborate github cover code automated testing continuous integration
20,21,le wagon,Data Analytics,"Discover business KPIs and learn how to collect data from various sources to run common analyses (churn, funnel, CAC, AB test, time to convert, etc..). Learn to extract data using APIs, automation tools or product tracking. Transform and load data on a warehouse building the right data layers and using advanced SQL. Communicate your results clearly using the right visualisations and building automated dashboards with the most used BI tools. Run analysis on big data sets using Python and Jupyter notebook. Learn the foundations of Machine Learning with Python to collaborate with data scientists or ML engineers.",data analytics,beginner,yes,bootcamp,,https://www.lewagon.com/data-analytics-course,discover business kpis learn collect data various source run common analysis churn funnel cac ab test time convert etc learn extract data using apis automation tool product tracking transform load data warehouse building right data layer using advanced sql communicate result clearly using right visualisation building automated dashboard used bi tool run analysis big data set using python jupyter notebook learn foundation machine learning python collaborate data scientist ml engineer
21,22,le wagon,Data Science,"Master the fundamental tools of programmatic data-analysts: Python as a backbone, SQL for queries and Jupyter Notebooks for visualization. Leverage statistics to build advanced analyses and take well-informed business decisions: statistical inferences, hypothesis testing, multivariate regression and confidence intervals. Master Machine Learning and Deep Learning workflows (data preparation, model selection, evaluation, and fine-tuning) and understand mathematical concepts and numerical implementations behind models. Package your models into replicable Python code that can be trained on big data in the cloud, using virtual machines and online databases. Monitor & retrain models when needed, and expose them to the world through APIs.",data science,beginner,yes,bootcamp,,https://www.lewagon.com/data-science-course,master fundamental tool programmatic dataanalysts python backbone sql query jupyter notebook visualization leverage statistic build advanced analysis take wellinformed business decision statistical inference hypothesis testing multivariate regression confidence interval master machine learning deep learning workflow data preparation model selection evaluation finetuning understand mathematical concept numerical implementation behind model package model replicable python code trained big data cloud using virtual machine online database monitor retrain model needed expose world apis
22,23,le wagon,Data Engineering,"Begin by laying the foundation for your data engineering course. Familiarize yourself with the core approach of the program, delve into Python, and grasp the rudiments of data engineering in the cloud. Uncover the core aspects of SQL databases, gaining a solid understanding of both transactional and analytical paradigms. Develop your skills with PostgreSQL and BigQuery, two essential tools for any data engineer. Discover data storage strategies and understand the transformative shift from Docker to Kubernetes, providing a practical understanding of batch pipeline development. Explore the challenges and solutions involved in handling large-scale data workloads. Learn to manage the transfer, processing, and tracking of large datasets, acquiring the skills necessary to maintain data consistency and accuracy.","data science, data analytics, database management",beginner,yes,bootcamp,,https://info.lewagon.com/en/data-engineering,begin laying foundation data engineering course familiarize core approach program delve python grasp rudiment data engineering cloud uncover core aspect sql database gaining solid understanding transactional analytical paradigm develop skill postgresql bigquery two essential tool data engineer discover data storage strategy understand transformative shift docker kubernetes providing practical understanding batch pipeline development explore challenge solution involved handling largescale data workload learn manage transfer processing tracking large datasets acquiring skill necessary maintain data consistency accuracy
23,24,exercism,Python,"137 coding exercises for Python on Exercism. From Pascals Triangle to Reverse String. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",programming language,beginner,no,free,,https://exercism.org/tracks/python,137 coding exercise python exercism pascal triangle reverse string get better programming fun rewarding coding exercise test understanding concept exercism
24,25,exercism,JavaScript,"141 coding exercises for JavaScript on Exercism. From Bob to OCR Numbers. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",programming language,beginner,no,free,,https://exercism.org/tracks/javascript,141 coding exercise javascript exercism bob ocr number get better programming fun rewarding coding exercise test understanding concept exercism
25,26,exercism,Java,"133 coding exercises for Java on Exercism. From Resistor Color to Two Bucket. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",programming language,beginner,no,free,,https://exercism.org/tracks/java,133 coding exercise java exercism resistor color two bucket get better programming fun rewarding coding exercise test understanding concept exercism
26,27,exercism,C++,"72 coding exercises for C++ on Exercism. From Collatz Conjecture to All Your Base. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",programming language,beginner,no,free,,https://exercism.org/tracks/cpp,72 coding exercise c exercism collatz conjecture base get better programming fun rewarding coding exercise test understanding concept exercism
27,28,exercism,C,"73 coding exercises for C on Exercism. From Gigasecond to Difference of Squares. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",programming language,beginner,no,free,,https://exercism.org/tracks/c,73 coding exercise c exercism gigasecond difference square get better programming fun rewarding coding exercise test understanding concept exercism
28,29,exercism,C#,"164 coding exercises for C# on Exercism. From Word Search to Saddle Points. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",programming language,beginner,no,free,,https://exercism.org/tracks/csharp,164 coding exercise c exercism word search saddle point get better programming fun rewarding coding exercise test understanding concept exercism
29,30,exercism,Elixir,"157 coding exercises for Elixir on Exercism. From Allergies to Poker. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",programming language,beginner,no,free,,https://exercism.org/tracks/elixir,157 coding exercise elixir exercism allergy poker get better programming fun rewarding coding exercise test understanding concept exercism
30,31,exercism,Go,"140 coding exercises for Go on Exercism. From Custom Set to Expenses. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",programming language,beginner,no,free,,https://exercism.org/tracks/go,140 coding exercise go exercism custom set expense get better programming fun rewarding coding exercise test understanding concept exercism
31,32,exercism,PHP,"80 coding exercises for PHP on Exercism. From Robot Simulator to Connect. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",programming language,beginner,no,free,,https://exercism.org/tracks/php,80 coding exercise php exercism robot simulator connect get better programming fun rewarding coding exercise test understanding concept exercism
32,33,exercism,R,"40 coding exercises for R on Exercism. From Triangle to Secret Handshake. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",programming language,beginner,no,free,,https://exercism.org/tracks/r,40 coding exercise r exercism triangle secret handshake get better programming fun rewarding coding exercise test understanding concept exercism
33,34,exercism,Ruby,"108 coding exercises for Ruby on Exercism. From Hello World to Resistor Color Duo. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",programming language,beginner,no,free,,https://exercism.org/tracks/ruby,108 coding exercise ruby exercism hello world resistor color duo get better programming fun rewarding coding exercise test understanding concept exercism
34,35,exercism,Swift,"98 coding exercises for Swift on Exercism. From Two Fer to Anagram. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",programming language,beginner,no,free,,https://exercism.org/tracks/swift,98 coding exercise swift exercism two fer anagram get better programming fun rewarding coding exercise test understanding concept exercism
35,36,exercism,TypeScript,"95 coding exercises for TypeScript on Exercism. From Knapsack to Clock. Get better at programming through fun, rewarding coding exercises that test your understanding of concepts with Exercism.",programming language,beginner,no,free,,https://exercism.org/tracks/typescript,95 coding exercise typescript exercism knapsack clock get better programming fun rewarding coding exercise test understanding concept exercism
36,37,codewars,Coding,Improve your development skills by training with your peers on code kata that continuously challenge and push your coding practice.,programming language,any,no,free,,https://www.codewars.com/,improve development skill training peer code kata continuously challenge push coding practice
37,38,codecademy,Fundamentals of Cybersecurity,"Learn the Cybersecurity fundamentals that will lay a foundation for securing your technology and personal life from dangerous cyber threats. Includes Cyber Attacks, Social Engineering, Threat Actors, Third-Party Risks, Intelligence Sources, and more. How do hackers gain access to a system? What is ransomware and why is it so dangerous? Does the average person need to be worried, or are only large companies at risk from threat actors? Using CompTIA’s Security+ Certification as a guide, learn the strategies attackers use, who these attackers are, and how you can strive to stay one step ahead.",cybersecurity,beginner,yes,paid,,https://www.codecademy.com/learn/paths/fundamentals-of-cybersecurity,learn cybersecurity fundamental lay foundation securing technology personal life dangerous cyber threat includes cyber attack social engineering threat actor thirdparty risk intelligence source hacker gain access system ransomware dangerous average person need worried large company risk threat actor using comptias security certification guide learn strategy attacker use attacker strive stay one step ahead
38,39,codecademy,Introduction to Cybersecurity,"Learn about the fast-growing field of cybersecurity and how to protect your data and information from digital attacks. Cybersecurity involves everyone and every entity — from you and your neighbors to organizations and companies to governments. It’s considered a fundamental necessity, and in this introduction to cybersecurity course, you’ll learn how to protect yourself and others from online attacks. This is a great starting point for anyone interested in learning cybersecurity but not sure where to start.",cybersecurity,beginner,no,free,,https://www.codecademy.com/learn/introduction-to-cybersecurity,learn fastgrowing field cybersecurity protect data information digital attack cybersecurity involves everyone every entity neighbor organization company government considered fundamental necessity introduction cybersecurity course youll learn protect others online attack great starting point anyone interested learning cybersecurity sure start
39,40,codecademy,Introduction to Ethical Hacking,"In this course, you will learn what it means to be an Ethical Hacker, and practice tools and techniques used to hack ethically. Hacking is a neat skill to have. However, such a skill requires great responsibility. Learn about the responsibility an ethical hacker have in this introductory course to Ethical Hacking. In this course, you will get a peek into what it means to be an Ethical Hacker, practice hacking ethically, and learn the tools and techniques to be an efficient hacker.",cybersecurity,beginner,no,free,,https://www.codecademy.com/learn/introduction-to-ethical-hacking,course learn mean ethical hacker practice tool technique used hack ethically hacking neat skill however skill requires great responsibility learn responsibility ethical hacker introductory course ethical hacking course get peek mean ethical hacker practice hacking ethically learn tool technique efficient hacker
40,41,codecademy,Full-Stack Engineer,"As a jack of all trades (and master of quite a few), a Full-Stack Engineer can get a project done from start to finish. Get the specialized skills and portfolio you need to start your career as a Full-Stack Engineer in this curated career path. Includes JavaScript, Node.JS, SQL, Express.JS, React, TDD, and more. Write live code, build projects, and practice for interviews. Finish in 4-8 months with a professional certification. Understand the full stack: Get to know the tools front-end developers use every day, plus server-side back-end JavaScript libraries. Build your own web app: Build the back-end of a web application and even create your own API. Prepare for your career: Get job-ready with portfolio projects, interview prep, and more.","programming language, fullstack development",beginner,yes,paid,,https://join.codecademy.com/learn/paths/full-stack-engineer-career-path-b/,jack trade master quite fullstack engineer get project done start finish get specialized skill portfolio need start career fullstack engineer curated career path includes javascript nodejs sql expressjs react tdd write live code build project practice interview finish 48 month professional certification understand full stack get know tool frontend developer use every day plus serverside backend javascript library build web app build backend web application even create api prepare career get jobready portfolio project interview prep
41,42,codecademy,Data Scientist: Natural Language Processing Specialist,"If you want to turn human language into data and get an introduction to AI, this is the career path for you. Get the specialized skills and portfolio you need to start your career as a Natural Learning Processing Specialist in this curated career path. Includes Python 3, SQL, pandas, scikit-learn, SpaCy, NLTK, and more. Write live code, build projects, and practice for interviews. Finish in 26 weeks with a certificate of completion. In this path, you'll learn to extract meaning from text, create chatbots, and build neural networks. Get started in AI: Use deep learning to create chatbots that resemble human language. Turn language into data: Create models that can summarize at scale, identify sentiment, and spot emerging topics. Prepare for your career: Get job-ready with portfolio projects and more.","data science, machine learning, artificial intelligence",beginner,yes,paid,,https://join.codecademy.com/learn/paths/data-science-nlp-b/,want turn human language data get introduction ai career path get specialized skill portfolio need start career natural learning processing specialist curated career path includes python 3 sql panda scikitlearn spacy nltk write live code build project practice interview finish 26 week certificate completion path youll learn extract meaning text create chatbots build neural network get started ai use deep learning create chatbots resemble human language turn language data create model summarize scale identify sentiment spot emerging topic prepare career get jobready portfolio project
