id,provider,title,description,skill level,is_paid,class,URL
39,codecademy,Introduction to Cybersecurity,"Learn about the fast-growing field of cybersecurity and how to protect your data and information from digital attacks. Cybersecurity involves everyone and every entity — from you and your neighbors to organizations and companies to governments. It’s considered a fundamental necessity, and in this introduction to cybersecurity course, you’ll learn how to protect yourself and others from online attacks. This is a great starting point for anyone interested in learning cybersecurity but not sure where to start.",beginner,no,free,https://www.codecademy.com/learn/introduction-to-cybersecurity
40,codecademy,Introduction to Ethical Hacking,"In this course, you will learn what it means to be an Ethical Hacker, and practice tools and techniques used to hack ethically. Hacking is a neat skill to have. However, such a skill requires great responsibility. Learn about the responsibility an ethical hacker have in this introductory course to Ethical Hacking. In this course, you will get a peek into what it means to be an Ethical Hacker, practice hacking ethically, and learn the tools and techniques to be an efficient hacker.",beginner,no,free,https://www.codecademy.com/learn/introduction-to-ethical-hacking
41,codecademy,Full-Stack Engineer,"As a jack of all trades (and master of quite a few), a Full-Stack Engineer can get a project done from start to finish. Get the specialized skills and portfolio you need to start your career as a Full-Stack Engineer in this curated career path. Includes JavaScript, Node.JS, SQL, Express.JS, React, TDD, and more. Write live code, build projects, and practice for interviews. Finish in 4-8 months with a professional certification. Understand the full stack: Get to know the tools front-end developers use every day, plus server-side back-end JavaScript libraries. Build your own web app: Build the back-end of a web application and even create your own API. Prepare for your career: Get job-ready with portfolio projects, interview prep, and more.",beginner,yes,paid,https://join.codecademy.com/learn/paths/full-stack-engineer-career-path-b/
42,codecademy,Data Scientist: Natural Language Processing Specialist,"If you want to turn human language into data and get an introduction to AI, this is the career path for you. Get the specialized skills and portfolio you need to start your career as a Natural Learning Processing Specialist in this curated career path. Includes Python 3, SQL, pandas, scikit-learn, SpaCy, NLTK, and more. Write live code, build projects, and practice for interviews. Finish in 26 weeks with a certificate of completion. In this path, you'll learn to extract meaning from text, create chatbots, and build neural networks. Get started in AI: Use deep learning to create chatbots that resemble human language. Turn language into data: Create models that can summarize at scale, identify sentiment, and spot emerging topics. Prepare for your career: Get job-ready with portfolio projects and more.",beginner,yes,paid,https://join.codecademy.com/learn/paths/data-science-nlp-b/
43,codecademy,Data Scientist: Machine Learning Specialist,"In the world of data science, Machine Learning Specialists use algorithms to make predictions and solve problems. Get the specialized skills and portfolio you need to start your career as a Machine Learning Data Scientist in this curated career path. Includes Python 3, SQL, pandas, scikit-learn, Matplotlib and more. Write live code, build projects, and practice for interviews. Finish in 35 weeks with a professional certification. In this path, you’ll start with data science fundamentals, then dive deeper into drawing predictions with machine learning and even building neural networks. Organize complex data: Use NumPy, pandas, and SQL to talk to databases and manipulate tables. Dive into machine learning: Create models that can automate processes, recognize patterns, and make recommendations. Prepare for your career: Get job-ready with portfolio projects and more.",beginner,yes,paid,https://join.codecademy.com/learn/paths/data-science-b/
44,codecademy,Back-End Engineer,"No matter what you’re building, having a strong foundation is crucial — that’s where Back-End Engineers come in. Get the specialized skills and portfolio you need to start your career as a Back-End Engineer in this curated career path. Includes JavaScript, Node.JS, Express.JS, PostgreSQL, SQL, and more. Write live code, build projects, and practice for interviews. Finish in 4-8 months with a professional certification. In this path, you’ll start with programming servers and client-side interfaces, then level up to designing databases. Navigate the back-end: Use JavaScript tools like Node.js and Express.js to build interactive web apps. Manage accounts and authentication: Ensure personalization and security for the people using your web apps. Prepare for your career: Get job-ready with portfolio projects, interview prep, and more.",beginner,yes,paid,https://join.codecademy.com/learn/paths/back-end-engineer-career-path-b/
45,codecademy,Front-End Engineer,"Front-End Engineers work closely with designers to make websites beautiful, functional, and fast. Get the specialized skills and portfolio you need to start your career as a Front-End Engineer in this curated career path. Includes HTML, CSS, JavaScript, Web Apps, React, UX design, and more. Write live code, build projects, and practice for interviews. Finish in 4-8 months with a professional certification. This path teaches not only the languages and technologies you’ll need to know, but how to think like a Front-End Engineer, too. Learn the basics: Get to know UI and UX design, including wireframing, color theory, and more. Build dynamic sites: Use JavaScript, React, and Redux to build fast and customizable front-end web apps. Prepare for your career: Get job-ready with portfolio projects, interview prep, and more.",beginner,yes,paid,https://join.codecademy.com/learn/paths/front-end-engineer-career-path-b/
46,codecademy,iOS Developer,"Looking to create apps for Apple's iOS operating system? Get the specialized skills and portfolio you need to start your career as an iOS Developer in this curated career path. Includes iOS, Mobile Development, Swift, Firebase, SwiftUI, and more. Write live code, build projects, and practice for interviews. Finish in 28 weeks with a certificate of completion. In this path, you’ll build four iOS mobile applications, including a social media app, all of which you can add to your professional portfolio. Learn Swift: Get to know one of the top iOS mobile app programming languages and frameworks. Publish your work: Build public, interactive mobile apps that you can submit to the App Store. Prepare for your career: Get job-ready with portfolio projects, interview prep, and more.",beginner,yes,paid,https://join.codecademy.com/learn/paths/ios-developer-b/
47,codecademy,Computer Science,"No matter what your coding goals are, the best place to start is by building a strong foundation. Get the specialized skills and portfolio you need to start your career in computer science with this curated career path. Includes Python, Command Line, Git, Data Structures, and more. Write live code, build projects, and practice for interviews. Finish in 20 weeks with a professional certification. Similar to a college course, this path will teach you how to think and code like a programmer, build your portfolio, and prepare for an entry-level role in tech. Become a Python pro: Learn the ins and outs of one of the fastest growing programming languages. Write super-efficient code: Apply your problem-solving skills to write cleaner code from the beginning. Prepare for your career: Get job-ready with portfolio projects and more.",beginner,yes,paid,https://join.codecademy.com/learn/paths/computer-science-b/
48,youtube,CS50 Lectures 2018,"Among the overarching goals of this course, independent of its curriculum, are to inspire students to explore unfamiliar waters, without fear of failure, create an intensive, shared experience, accessible to all students, and build community among students. Among the overarching goals for students individually in this course is that they learn something that we haven’t taught them, as is manifest at term’s end by so many students’ final projects that use languages, libraries, tools, and techniques not taught in the course. Along the way will students learn to: think more methodically, program procedurally, represent and process information, communicate succinctly and precisely, solve problems efficiently, recognize patterns among problems, decompose problems into parts and compose solutions thereto, operate at multiple levels of abstraction, separate design from implementation details, infer from first principles how systems work, assess the correctness, design, and style of code, teach themselves new languages, identify threats to privacy and security, read documentation, drawing conclusions from specifications, test solutions to problems, find faults, and identify corner cases, describe symptoms of problems precisely and ask questions clearly, and identify and quantify tradeoffs among resources, particularly time and space. Ultimately, the course provides students with a foundation for further studies in computer science and empowers students to apply computer science to problems in other domains.",beginner,no,free,https://www.youtube.com/playlist?list=PLhQjrBD2T382eX9-tF75Wa4lmlC7sxNDH
49,aws,AWS Certified Cloud Practitioner,"The AWS Certified Cloud Practitioner validates foundational, high-level understanding of AWS Cloud, services, and terminology.  This is a good starting point on the AWS Certification journey for individuals with no prior IT or cloud experience switching to a cloud career or for line-of-business employees looking for foundational cloud literacy.",beginner,yes,paid,https://aws.amazon.com/certification/certified-cloud-practitioner/?ch=sec&sec=rmg&d=1
50,aws,AWS Certified Developer - Associate,"AWS Certified Developer - Associate showcases knowledge and understanding of core AWS services, uses, and basic AWS architecture best practices, and proficiency in developing, deploying, and debugging cloud-based applications by using AWS. Preparing for and attaining this certification gives certified individuals more confidence and credibility. Organizations with AWS Certified developers have the assurance of having the right talent to give them a competitive advantage and ensure stakeholder and customer satisfaction.",intermediate,yes,paid,https://aws.amazon.com/certification/certified-developer-associate/
51,aws,Developer Learning Plan,"A Learning Plan pulls together training content for a particular role or solution, and organizes those assets from foundational to advanced.   Use Learning Plans as a starting point to discover training that matters to you. This Learning Plan is designed to help Developers who want to learn how to develop modern applications on AWS. The digital training included in this Learning Plan will expose you to developing with serverless and container technologies, as well as the foundation of DevOps on AWS. This Learning Plan can also help prepare you for the AWS Certified Developer - Associate certification exam.",beginner,no,free,https://explore.skillbuilder.aws/learn/public/learning_plan/view/84/developer-learning-plan?la=cta&cta=topbanner
52,aws,AWS Certified Solutions Architect - Associate,"AWS Certified Solutions Architect - Associate showcases knowledge and skills in AWS technology, across a wide range of AWS services. The focus of this certification is on the design of cost and performance optimized solutions, demonstrating a strong understanding of the AWS Well-Architected Framework. This certification can enhance the career profile and earnings of certified individuals and increase your credibility and confidence in stakeholder and customer interactions.",intermediate,yes,paid,https://aws.amazon.com/certification/certified-solutions-architect-associate/
53,aws,AWS Certified DevOps Engineer - Professional,"The AWS Certified DevOps Engineer - Professional showcases individuals’ technical expertise in provisioning, operating, and managing distributed application systems on the AWS platform, giving them increased confidence and credibility with peers, stakeholders, and customers. Organizations with these qualified professionals can ensure speedy delivery of secure, compliant, systems that are highly available and scalable.",professional,yes,paid,https://aws.amazon.com/certification/certified-devops-engineer-professional/
54,youtube,Python for Beginners - Learn Python in 1 Hour,This Python tutorial for beginners show how to get started with Python quickly. Learn to code in 1 hour! Watch this tutorial get started! ,beginner,no,free,https://www.youtube.com/watch?v=kqtD5dpn9C8&t=16s
55,youtube,Learn Python - Full Course for Beginners [Tutorial],This course will give you a full introduction into all of the core concepts in python. Follow along with the videos and you'll be a python programmer in no time!,beginner,no,free,https://www.youtube.com/watch?v=rfscVS0vtbw&t=458s
56,youtube,Python as Fast as Possible - Learn Python in 75 Minutes,This python tutorial aims to teach you python as fast as possible. This python speed course will cover all the fundamentals of python and give you a quick overview of all of the main python features.,beginner,no,free,https://www.youtube.com/watch?v=VchuKL44s6E
57,roadmap,Frontend Developer,Step by step guide to becoming a modern frontend developer in 2023,any,no,free,https://roadmap.sh/frontend
58,roadmap,Frontend Developer,Step by step guide to becoming a modern frontend developer in 2023,beginner,no,free,https://roadmap.sh/frontend?r=frontend-beginner
59,roadmap,Backend Developer,Step by step guide to becoming a modern backend developer in 2023,any,no,free,https://roadmap.sh/backend
60,roadmap,DevOps Roadmap,"Step by step guide for DevOps, SRE or any other Operations Role in 2023",any,no,free,https://roadmap.sh/devops
61,roadmap,Full Stack Developer,Step by step guide to becoming a modern full stack developer in 2023,any,no,free,https://roadmap.sh/full-stack
62,roadmap,QA Engineer,Steps to follow in order to become a modern QA Engineer in 2023,any,no,free,https://roadmap.sh/qa
63,roadmap,Cyber Security Expert,Step by step guide to becoming a Cyber Security Expert in 2023,intermediate,no,free,https://roadmap.sh/cyber-security
64,roadmap,Software Architect,Step by step guide to becoming a Software Architect in 2023,beginner,no,free,https://roadmap.sh/software-architect
65,roadmap,Blockchain Developer,Step by step guide to becoming a blockchain developer in 2023.,beginner,no,free,https://roadmap.sh/blockchain
66,roadmap,Python Developer,Step by step guide to becoming a Python developer in 2023,beginner,no,free,https://roadmap.sh/python
67,roadmap,React Developer,Everything that is there to learn about React and the ecosystem in 2023.,intermediate,no,free,https://roadmap.sh/react
68,roadmap,Docker Roadmap,Step by step guide to learning Docker in 2023.,beginner,no,free,https://roadmap.sh/docker
69,roadmap,JavaScript Roadmap,Step by step guide to learn JavaScript in 2023.,beginner,no,free,https://roadmap.sh/javascript
70,roadmap,Computer Science,Computer Science curriculum with free resources for a self-taught developer.,beginner,no,free,https://roadmap.sh/computer-science
71,roadmap,MongoDB Roadmap,Step by step guide to learning MongoDB in 2023.,beginner,no,free,https://roadmap.sh/mongodb
72,roadmap,Kubernetes Roadmap,Step by step guide to learning Kubernetes in 2023,beginner,no,free,https://roadmap.sh/kubernetes
73,roadmap,Angular Developer,Everything that is there to learn about Angular and the ecosystem in 2023.,intermediate,no,free,https://roadmap.sh/angular
74,roadmap,Vue Developer,Everything that is there to learn about Vue and the ecosystem in 2023.,intermediate,no,free,https://roadmap.sh/vue
75,roadmap,Java Developer,Step by step guide to becoming a Java developer in 2023.,beginner,no,free,https://roadmap.sh/java
76,roadmap,SQL Roadmap,Step by step guide to learning SQL in 2023.,beginner,no,free,https://roadmap.sh/sql
77,ironhack,Web Development,"Become a Full-Stack developer with our Web Development bootcamp. Get hands-on training in the most in-demand skills, like HTML, CSS, JavaScript, and React.",beginner,yes,bootcamp,https://www.ironhack.com/uk/en/web-development
78,ironhack,Data Analytics,"Become a Data Analyst with our Data Analytics bootcamp. Apply fundamental skills like Git, Python, and MySQL to your own projects and build your portfolio.",beginner,yes,bootcamp,https://www.ironhack.com/uk/en/data-analytics
79,ironhack,Cybersecurity,"Launch your career in Cyber with our Cybersecurity bootcamp. Gain an in-depth knowledge of computer systems, cyber-forensic methodologies, and protect from real-time Cyber-attacks.",beginner,yes,bootcamp,https://www.ironhack.com/uk/en/cybersecurity
